FMID,MostRecentOpeningDate
1001889,2014-10-18
1001890,2015-12-31
1001894,
1001895,2015-12-01
1001896,
1001897,2014-10-11
1001898,
1001901,2014-09-30
1001906,2015-12-31
1001907,
1001909,2014-10-25
1001910,2016-10-27
1001912,
1001915,2014-10-11
1001917,2013-10-25
1001918,2013-09-26
1001921,2014-10-29
1001925,2015-09-30
1001927,2014-10-12
1001932,2015-10-07
1001935,
1001938,2014-12-31
1001942,
1001947,2014-11-23
1001948,2014-10-27
1001949,
1001950,
1001952,
1001956,
1001957,2015-09-29
1001961,
1001962,2016-10-03
1001963,
1001964,
1001966,2014-08-19
1001969,2014-04-19
1001981,2013-10-19
1001983,2014-12-27
1001984,
1001985,2013-12-21
1001991,2016-10-15
1001999,2012-10-31
1002008,2013-10-15
1002009,2016-10-29
1002021,2014-12-31
1002025,2014-03-15
1002026,
1002027,
1002030,2015-12-12
1002041,2014-10-25
1002042,2014-10-26
1002043,2014-10-30
1002045,2014-10-26
1002052,2014-09-27
1002053,
1002054,
1002056,2014-10-18
1002058,
1002060,2015-10-18
1002062,2014-10-28
1002063,2014-10-31
1002064,2014-10-30
1002078,2013-12-31
1002083,2014-10-28
1002084,2014-10-30
1002085,2014-12-31
1002088,2014-11-29
1002090,2014-09-30
1002091,2013-10-05
1002092,2014-10-30
1002099,
1002100,
1002101,2014-10-23
1002103,2013-09-30
1002106,2015-12-31
1002114,2013-09-25
1002115,2013-10-12
1002120,2015-04-17
1002121,2014-09-04
1002129,
1002133,2014-08-28
1002134,2015-06-03
1002135,2013-09-26
1002136,
1002139,2014-10-26
1002140,2014-10-12
1002152,
1002160,
1002162,2014-10-20
1002163,
1002166,2014-09-12
1002168,2015-06-02
1002170,
1002171,2014-04-26
1002174,
1002175,2016-11-19
1002177,2014-06-15
1002181,
1002187,2014-04-01
1002191,2013-06-01
1002192,
1002193,2014-09-25
1002194,2014-12-31
1002195,2014-08-26
1002200,2014-10-18
1002205,2013-10-26
1002207,2014-10-09
1002208,2015-12-19
1002210,2016-05-17
1002213,
1002217,2014-12-31
1002218,2014-12-31
1002222,
1002227,
1002229,
1002230,
1002235,2014-09-27
1002236,2014-10-26
1002237,2015-10-27
1002238,
1002239,
1002245,2014-09-27
1002247,
1002250,2013-10-31
1002254,2015-11-28
1002256,2016-09-28
1002259,2016-09-24
1002262,2016-04-16
1002265,
1002268,2013-10-31
1002272,
1002273,
1002274,2013-11-16
1002275,2014-09-25
1002276,
1002279,
1002280,2014-06-01
1002287,
1002289,2014-10-04
1002293,2013-12-31
1002297,2014-11-25
1002300,
1002301,2014-12-31
1002302,
1002304,2014-12-20
1002305,
1002307,2014-10-08
1002310,2014-10-30
1002312,2012-10-13
1002313,2012-10-28
1002316,
1002322,
1002331,
1002332,2013-10-30
1002333,2014-10-30
1002347,2014-09-27
1002350,2013-12-31
1002353,2014-05-23
1002354,2014-10-25
1002358,2014-12-20
1002365,2013-10-30
1002366,2016-12-31
1002367,
1002368,
1002373,2014-10-25
1002374,2014-09-27
1002377,2014-10-30
1002378,2015-01-01
1002382,2016-10-26
1002383,2014-12-31
1002400,2016-10-29
1002402,2014-10-31
1002404,
1002405,2015-12-12
1002407,2014-10-25
1002408,2014-10-29
1002410,
1002412,
1002416,2014-11-11
1002419,2013-08-31
1002420,2013-12-31
1002422,2017-05-21
1002427,2016-11-19
1002428,2013-11-02
1002429,
1002433,
1002438,2016-09-27
1002446,2014-11-18
1002448,
1002450,2016-10-27
1002454,
1002458,
1002459,
1002461,2016-10-08
1002469,2015-10-17
1002470,2014-10-18
1002471,2013-08-31
1002476,2014-11-01
1002477,2014-10-30
1002483,2013-05-27
1002484,2015-12-19
1002485,2013-09-24
1002486,2013-09-26
1002488,2014-09-25
1002510,2013-10-30
1002512,
1002513,2015-10-25
1002514,2013-09-27
1002516,
1002517,
1002518,2016-10-16
1002521,2013-10-24
1002522,2015-11-28
1002524,2013-08-03
1002526,2015-10-31
1002527,2014-10-30
1002530,2013-07-10
1002532,2013-09-19
1002533,2014-09-24
1002536,2014-10-26
1002537,2014-12-31
1002538,2016-12-03
